User ID,applications,Reason,Granted_Loan_Amount,Requested_Loan_Amount,FICO_score,Fico_Score_group,Employment_Status,Employment_Sector,Monthly_Gross_Income,Monthly_Housing_Payment,Ever_Bankrupt_or_Foreclose,Lender,Approved,bounty
00007820-89cb-4c1d-9940-eb270d605a35,1,cover_an_unexpected_cost,100000,123000.0,669.0,fair,full_time,consumer_discretionary,5024.0,927,0,B,0,0
00012b55-514c-421e-9c76-3300abbc1134,1,credit_card_refinancing,70000,79000.0,594.0,fair,full_time,information_technology,5764.0,1177,0,B,0,0
000157c1-b6a3-4c86-82c7-9ec1bda3799a,1,home_improvement,10000,11000.0,596.0,fair,full_time,information_technology,4017.0,1487,0,A,0,0
00020400-efab-4b10-8812-2a0aaf774841,1,home_improvement,100000,120000.0,642.0,fair,part_time,energy,3129.0,904,0,A,0,0
0002f737-0cda-48fb-91ed-533f3d0eab05,1,major_purchase,30000,34000.0,,fair,full_time,energy,,1620,0,A,0,0
00030724-e12e-4902-bd36-f922692dcb1f,1,other,30000,32000.0,565.0,poor,full_time,consumer_staples,8061.0,658,0,C,0,0
0004091e-ef33-4feb-9fc2-7da41b1edadd,1,other,80000,89000.0,691.0,good,full_time,communication_services,,1289,0,A,1,250
00060c8b-b5ab-4dd1-900b-42bf6b06378b,1,debt_conslidation,70000,78000.0,715.0,good,full_time,materials,7405.0,1985,0,B,0,0
00063346-b404-4787-9b90-75f3754c92e4,1,major_purchase,40000,48000.0,634.0,fair,full_time,utilities,4394.0,891,0,A,0,0
00074813-256f-4057-b9a8-42e46885995f,1,debt_conslidation,90000,97000.0,661.0,fair,part_time,energy,2175.0,626,0,A,0,0
00076e11-3b6f-41cd-a2b7-f4ffe8fe2fbf,1,home_improvement,40000,44000.0,793.0,very_good,full_time,information_technology,10292.0,952,0,A,0,0
00086b35-4eef-4384-8fc1-cad88a48fa51,1,cover_an_unexpected_cost,80000,87000.0,602.0,fair,full_time,real_estate,5011.0,1260,0,A,0,0
0009091e-a240-4085-a811-64c70b2fef3f,1,major_purchase,20000,21000.0,687.0,good,full_time,information_technology,8260.0,1492,0,A,0,0
00094553-7d7f-47ba-acfc-53a0d8b42a88,1,debt_conslidation,20000,21000.0,589.0,fair,full_time,communication_services,4161.0,2043,0,A,0,0
000a084e-b0d2-403b-89e3-5090000bd78f,1,debt_conslidation,20000,25000.0,715.0,good,full_time,health_care,9525.0,659,0,A,0,0
000a301f-e485-4694-bad3-3855d729ac1c,1,major_purchase,80000,91000.0,638.0,fair,full_time,health_care,5481.0,1343,0,A,0,0
000adfa1-eb60-47a7-a62d-f7d2b66316e6,1,other,20000,22000.0,693.0,good,full_time,utilities,5677.0,881,0,C,0,0
000af9d3-9af8-471d-9b49-276e1648c0d0,1,major_purchase,5000,6000.0,561.0,poor,full_time,energy,4794.0,1710,0,A,0,0
000b0cdd-c992-43d1-8549-ac2c6b014bdd,1,debt_conslidation,80000,86000.0,669.0,fair,full_time,consumer_staples,4396.0,546,0,C,0,0
000b27cb-5789-45d3-97b6-c4ad7bb39b95,1,credit_card_refinancing,10000,11000.0,682.0,good,full_time,industrials,,2372,0,B,0,0
000bff71-e3ab-457e-84a4-c9efa3a34675,1,other,20000,23000.0,605.0,fair,full_time,materials,,2326,0,B,0,0
000c654b-3549-4f30-afb8-a7f76181a7a0,1,other,10000,12000.0,721.0,good,full_time,health_care,,2495,0,B,0,0
000cb002-a5b5-4129-9c46-9d87358c72de,1,cover_an_unexpected_cost,10000,12000.0,721.0,good,full_time,financials,8592.0,870,0,C,0,0
000d2c11-a125-4d29-bfaf-a21ba9139383,1,home_improvement,70000,83000.0,540.0,poor,full_time,consumer_staples,5287.0,2062,0,B,0,0
000d8221-e3a0-4fae-8fdc-6c6ebc8a8277,1,debt_conslidation,90000,97000.0,522.0,poor,full_time,materials,4679.0,2100,0,A,0,0
000dec54-b7b9-4f22-98b6-fec47b5aba4e,1,cover_an_unexpected_cost,30000,34000.0,584.0,fair,full_time,industrials,,1961,0,A,0,0
000e7c96-0ce3-4bca-b6d6-e7bcf20e0171,1,credit_card_refinancing,100000,110000.0,693.0,good,full_time,real_estate,7345.0,450,0,A,0,0
000eabd5-0da4-401d-8d89-f7861013e0a3,1,home_improvement,50000,55000.0,670.0,fair,full_time,industrials,,2064,0,A,0,0
